customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,AvgMonthlySpend,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No
4445-ZJNMU,Male,0,0,0,9,1,Yes,No,Yes,No,No,Yes,Yes,1,Credit card (automatic),99.3,918.75,0,0-12,102.08219908667682,True,False,False,False,True,False
4808-YNLEU,Female,0,1,0,35,1,No,Yes,No,No,No,Yes,No,1,Bank transfer (automatic),62.15,2215.45,0,25-36,63.29839057602691,False,True,False,True,False,False
1862-QRWPE,Female,0,1,1,48,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),20.65,1057.0,0,49-60,22.020787456692798,False,False,True,False,False,True
2796-NNUFI,Female,0,1,1,46,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Mailed check,19.95,927.1,0,37-48,20.154304012382582,False,False,True,False,False,True
3016-KSVCP,Male,0,1,0,29,0,No phone service,No,No,No,No,Yes,No,0,Mailed check,33.75,1009.25,0,25-36,34.80160413239955,True,False,False,True,False,False
4767-HZZHQ,Male,0,1,1,30,1,No,No,Yes,Yes,No,No,No,0,Bank transfer (automatic),82.05,2570.2,0,25-36,85.67304775650747,True,False,False,False,True,False
2424-WVHPL,Male,1,0,0,1,1,No,No,No,No,Yes,No,No,0,Electronic check,74.7,74.7,0,0-12,74.69253074692531,True,False,False,False,True,False
7233-PAHHL,Male,0,1,1,66,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,Mailed check,84.0,5714.25,0,61-72,86.57941427361473,False,False,True,True,False,False
6067-NGCEU,Female,0,0,0,65,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,Credit card (automatic),111.05,7107.0,0,61-72,109.33829332570257,True,False,False,False,True,False
9848-JQJTX,Male,0,0,0,72,1,Yes,No,Yes,Yes,No,Yes,Yes,1,Bank transfer (automatic),100.9,7459.05,0,,103.59777278087114,False,False,True,False,True,False
8637-XJIVR,Female,0,0,0,12,1,Yes,Yes,No,No,No,No,No,1,Electronic check,78.95,927.35,1,13-24,77.27852267897768,True,False,False,False,True,False
9803-FTJCG,Male,0,1,1,71,1,Yes,Yes,Yes,No,Yes,No,No,1,Credit card (automatic),66.85,4748.7,0,61-72,66.88300439013466,False,True,False,True,False,False
0278-YXOOG,Male,0,0,0,5,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,21.05,113.85,1,0-12,22.769544609107818,True,False,False,False,False,True
3212-KXOCR,Male,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),21.0,1107.2,0,49-60,21.292266745640873,False,False,True,False,False,True
4598-XLKNJ,Female,1,1,0,25,1,No,No,Yes,Yes,No,Yes,Yes,1,Electronic check,98.5,2514.5,1,25-36,100.57959768160927,True,False,False,False,True,False
6380-ARCEH,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.2,20.2,0,0-12,20.197980201979803,True,False,False,False,False,True
3679-XASPY,Female,0,1,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Electronic check,19.45,19.45,0,0-12,19.448055194480553,True,False,False,False,False,True
7123-WQUHX,Male,0,0,0,38,1,Yes,No,No,Yes,Yes,Yes,No,0,Bank transfer (automatic),95.0,3605.6,0,37-48,94.88396083168202,False,True,False,False,True,False
5386-THSLQ,Female,1,1,0,66,0,No phone service,No,Yes,Yes,No,Yes,No,0,Bank transfer (automatic),45.55,3027.25,0,61-72,45.8673547464322,False,True,False,True,False,False
3192-NQECA,Male,0,1,0,68,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,Bank transfer (automatic),110.0,7611.85,1,61-72,111.93880597234416,False,False,True,False,True,False
6180-YBIQI,Male,0,0,0,5,0,No phone service,No,No,No,No,No,No,0,Mailed check,24.3,100.2,0,0-12,20.03959920801584,True,False,False,True,False,False
6728-DKUCO,Female,0,1,1,72,1,Yes,Yes,Yes,No,No,Yes,Yes,1,Electronic check,104.15,7303.05,0,,101.43110912345955,False,True,False,False,True,False
9750-BOOHV,Female,0,0,0,32,0,No phone service,Yes,No,No,No,No,No,0,Mailed check,30.15,927.65,0,25-36,28.98897190946278,False,True,False,True,False,False
8597-CWYHH,Male,0,0,0,43,1,Yes,No,No,No,No,Yes,Yes,0,Mailed check,94.35,3921.3,0,37-48,91.19281117950888,False,True,False,False,True,False
2848-YXSMW,Male,0,1,1,72,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Credit card (automatic),19.4,1363.25,0,,18.934001480553498,False,False,True,False,False,True
0486-HECZI,Male,0,1,0,55,1,Yes,Yes,Yes,No,No,Yes,No,1,Electronic check,96.75,5238.9,1,49-60,95.25255408626529,True,False,False,False,True,False
4549-ZDQYY,Female,0,0,0,52,1,No,Yes,No,Yes,Yes,No,No,0,Credit card (automatic),57.95,3042.25,0,49-60,58.50469518327849,False,True,False,True,False,False
5712-AHQNN,Female,0,0,0,43,1,No,No,Yes,Yes,No,Yes,No,1,Electronic check,91.65,3954.1,0,37-48,91.95560010325556,True,False,False,False,True,False
4846-WHAFZ,Female,1,1,0,37,1,Yes,No,No,No,No,No,No,1,Electronic check,76.5,2868.15,1,37-48,77.51735806119443,True,False,False,False,True,False
5256-SKJGO,Female,0,1,1,64,0,No phone service,No,Yes,No,Yes,Yes,Yes,1,Electronic check,54.6,3423.5,0,61-72,53.492103918587624,False,False,True,True,False,False
3071-VBYPO,Male,0,1,1,3,1,No,Yes,Yes,No,No,Yes,No,0,Electronic check,89.85,248.4,0,0-12,82.79724009199693,True,False,False,False,True,False
9560-BBZXK,Female,0,0,0,36,0,No phone service,Yes,No,No,No,No,No,0,Bank transfer (automatic),31.05,1126.35,0,37-48,31.287413090519188,False,False,True,True,False,False
5299-RULOA,Female,0,1,1,10,1,Yes,Yes,No,No,No,Yes,Yes,1,Electronic check,100.25,1064.65,1,0-12,106.4639353606464,True,False,False,False,True,False
8402-OOOHJ,Female,0,0,0,41,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.65,835.15,0,37-48,20.36946251350606,False,False,True,False,False,True
9445-ZUEQE,Male,0,1,1,27,1,Yes,No,Yes,No,Yes,No,No,1,Credit card (automatic),85.2,2151.6,0,25-36,79.68859374594909,True,False,False,False,True,False
1091-SOZGA,Female,0,1,1,56,1,Yes,No,No,Yes,No,Yes,Yes,1,Credit card (automatic),99.8,5515.45,0,49-60,98.49000269642374,False,True,False,False,True,False
2928-HLDBA,Female,0,0,0,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.7,112.75,0,0-12,18.791353477442044,True,False,False,False,False,True
0404-SWRVG,Male,0,0,0,3,1,Yes,No,No,No,No,No,No,1,Electronic check,74.4,229.55,1,0-12,76.51411619612679,True,False,False,False,True,False
6497-TILVL,Female,0,1,1,7,1,No,Yes,No,No,No,No,No,0,Mailed check,50.7,350.35,0,0-12,50.04928501021414,True,False,False,True,False,False
7219-TLZHO,Female,0,1,1,4,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.85,62.9,0,0-12,15.72460688482788,True,False,False,False,False,True
4622-YNKIJ,Male,0,0,0,33,1,No,Yes,No,No,Yes,Yes,No,1,Electronic check,88.95,3027.65,0,25-36,91.74669167669188,False,False,True,False,True,False
4412-YLTKF,Female,1,0,0,27,1,Yes,No,No,Yes,No,No,No,1,Electronic check,78.05,2135.5,1,25-36,79.09229965814941,True,False,False,False,True,False
6734-PSBAW,Male,0,1,0,72,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Bank transfer (automatic),23.55,1723.95,0,,23.943716744837854,False,False,True,False,False,True
3930-ZGWVE,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,19.75,19.75,0,0-12,19.748025197480253,True,False,False,False,False,True
2639-UGMAZ,Male,1,0,0,71,0,No phone service,Yes,Yes,No,No,Yes,Yes,1,Electronic check,56.45,3985.35,0,61-72,56.13161108223791,False,True,False,True,False,False
2876-GZYZC,Female,0,0,0,13,1,Yes,No,No,No,No,No,Yes,1,Electronic check,85.95,1215.65,0,13-24,93.51081914754502,True,False,False,False,True,False
6207-WIOLX,Female,0,1,1,25,0,No phone service,Yes,Yes,Yes,No,Yes,Yes,1,Credit card (automatic),58.6,1502.65,1,25-36,60.105759576961695,True,False,False,True,False,False
8587-XYZSF,Male,0,0,0,67,1,No,No,No,No,Yes,No,No,0,Bank transfer (automatic),50.55,3260.1,0,61-72,48.6581363311398,False,False,True,True,False,False
3091-FYHKI,Male,0,0,0,1,0,No phone service,No,No,No,No,No,Yes,1,Electronic check,35.45,35.45,1,0-12,35.446455354464554,True,False,False,True,False,False
2372-HWUHI,Male,0,0,0,2,1,No,No,No,No,No,No,No,0,Electronic check,44.35,81.25,1,0-12,40.62296885155742,True,False,False,True,False,False
7799-LGRDP,Female,0,0,0,43,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Credit card (automatic),25.7,1188.2,0,37-48,27.632493877921213,False,False,True,False,False,True
7850-VWJUU,Female,0,0,0,23,1,No,Yes,No,No,No,No,No,1,Bank transfer (automatic),75.0,1778.5,0,13-24,77.3257507576054,True,False,False,False,True,False
3774-VBNXY,Female,0,1,1,64,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,20.2,1277.75,0,61-72,19.96481255498038,False,False,True,False,False,True
6217-KDYWC,Male,0,0,1,57,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Mailed check,19.6,1170.55,0,49-60,20.535928884335288,False,False,True,False,False,True
0390-DCFDQ,Female,1,1,0,1,1,No,No,No,No,No,No,No,1,Mailed check,70.45,70.45,1,0-12,70.44295570442956,True,False,False,False,True,False
3146-MSEGF,Female,1,1,1,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Credit card (automatic),88.05,6425.65,0,,89.24501493747924,False,False,True,True,False,False
4080-OGPJL,Female,0,0,0,8,1,Yes,Yes,No,No,Yes,No,Yes,0,Electronic check,71.15,563.65,1,0-12,70.45536930788366,True,False,False,True,False,False
1095-WGNGG,Female,0,1,0,61,1,Yes,No,Yes,No,No,Yes,Yes,1,Bank transfer (automatic),101.05,5971.25,0,61-72,97.88918378822329,False,False,True,False,True,False
2636-SJDOU,Male,0,0,0,64,1,Yes,Yes,Yes,No,No,No,No,1,Credit card (automatic),84.3,5289.05,0,61-72,82.6412771230045,False,True,False,False,True,False
1131-QQZEB,Male,1,1,0,71,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Bank transfer (automatic),23.95,1756.2,0,61-72,24.735176429328973,False,False,True,False,False,True
5716-EZXZN,Female,0,1,1,65,1,Yes,Yes,Yes,No,Yes,Yes,No,1,Credit card (automatic),99.05,6416.7,0,61-72,98.71830966413897,False,False,True,False,True,False
6837-BJYDQ,Male,0,0,0,3,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Mailed check,19.6,61.35,0,0-12,20.449318356054796,False,True,False,False,False,True
2135-RXIHG,Male,0,0,0,1,1,No,No,No,No,No,No,No,1,Electronic check,45.65,45.65,1,0-12,45.64543545645435,True,False,False,True,False,False
6440-DKQGE,Male,0,0,1,30,1,No,No,Yes,Yes,No,Yes,No,0,Credit card (automatic),64.5,1929.95,0,25-36,64.33145222849258,False,True,False,True,False,False
3466-BYAVD,Male,0,1,1,15,1,No,No,Yes,Yes,Yes,No,Yes,1,Mailed check,69.5,1071.4,0,13-24,71.4261904920634,True,False,False,True,False,False
3780-YVMFA,Female,0,1,1,8,1,No,No,No,No,Yes,Yes,Yes,1,Electronic check,68.55,564.35,0,0-12,70.54286821414733,True,False,False,True,False,False
3874-EQOEP,Male,0,0,0,7,1,Yes,No,No,No,No,Yes,Yes,0,Mailed check,95.0,655.5,1,0-12,93.64151940686563,True,False,False,False,True,False
